Building #,Name,Code,AddressText,lat,long ,Dummy Data
33,Cayuga Hall,CAYUGA-33,"20 Cayuga Circle,Oswego,NY,13126",43.45099735,-76.54855115,50
004A,Lee Hall Central Heating Plant,CHP-4A,"38 Centennial Drive,Oswego,NY,13126",43.45613191,-76.53857341,50
11,Commissary Bldg,COMMISSARY-11,"78 Mollison St,Oswego,NY,13126",43.44741743,-76.53790826,50
47,Cooper Dining Hall,COOPER-47,"19 Union RD,Oswego,NY,13126",43.45253369,-76.54221547,50
26,Culkin Hall,CULKIN-26,"72 Sweet Rd,Oswego,NY,13126",43.45139873,-76.54424969,50
FALL,Fallbrook Recreation Center,FALL,"103 Thopson Rd,Oswego,NY,13126",43.42898941,-76.54239655,50
48,Funnelle Hall,FUNNELLE-48,"25 Union Rd,Oswego,NY,13126",43.45249294,-76.54170429,50
46,Hart Hall,HART-46,"15 Union Rd,Oswego,NY,13126",43.45247644,-76.54274965,50
29,Hewitt Hall,HEWITT-29,"5 Union Rd,Oswego,NY,13126",43.45245495,-76.54409919,50
41,Johnson Hall,JOHNSON-41,"20 Rudolph Rd,Oswego,NY,13126",43.45789035,-76.53786876,50
22,King Hall,KING-22,"294 George Washington Blvd,Oswego,NY,13126",43.4533472,-76.53645154,50
19,Laker Hall,LAKER-19,"30 Barnes Rd,Oswego,NY,13126",43.44628716,-76.535475,50
42,Lakeside Dining Hall,LAKESIDE-42,"24 Rudolph Rd,Oswego,NY,13126",43.45690536,-76.53929901,50
6,Lanigan Hall,LANIGAN-6,"67 Rudolph Rd,Oswego,NY,13126",43.4536961,-76.54489509,50
4,Lee Hall,LEE-4,"38 Centennial Drive,Oswego,NY,13126",43.45614809,-76.5378917,50
35,Littlepage Dining Hall,LITTLEPAGE-35,"16 Onondaga Cir,Oswego,NY,13126",43.44997596,-76.54878234,50
015B,Lonis Hall,LONIS-15B,"49 Sheldon Ave,Oswego,NY,13126",43.4551238,-76.53426254,50
15,Mackin Hall,MACKIN-15,"53 Sheldon Ave,Oswego,NY,13126",43.45478688,-76.53428363,50
13,Mahar Hall,MAHAR-13,"71 Rudolph Rd,Oswego,NY,13126",43.45296805,-76.54565137,50
12,Maintenance Bldg 12,MAINTENANCE-12,"82 Mollison St,Oswego,NY,13126",43.44757367,-76.53719091,50
015A,Moreland Hall,MORELAND-15A,"57 Sheldon Ave,Oswego,NY,13126",43.45419471,-76.53452976,50
36,Oneida Hall,ONEIDA-36,"10 Onondaga Cir,Oswego,NY,13126",43.44944169,-76.55001178,50
34,Onondaga Hall,ONONDAGA-34,"20 Onondaga Cir,Oswego,NY,13126",43.45052896,-76.54949581,50
2,Park Hall,PARK-2,"22 Takamine St,Oswego,NY,13126",43.4552485,-76.53680568,50
31,Pathfinder Dining Hall,PATHFINDER-31,"30 Cayuga Cir,Oswego,NY,13126",43.45067306,-76.5479133,50
17,Penfield Library,PENFIELD-17,"59 Rudolph Rd,Oswego,NY,13126",43.45376408,-76.54398593,50
8,Shineman Center,SHINEMAN-8,"30 Centennial Dr,Oswego,NY,13126",43.45479711,-76.53838687,50
003A,Poucher Hall,POUCHER-3A,"25 Centennial Dr,Oswego,NY,13126",43.45484225,-76.53966603,50
23,Rice Creek Field Station,RICE-23,"193 Thompson Rd,Oswego,NY,13126",43.43000643,-76.55011063,50
14,Rich Hall,RICH-14,"32 Sheldon Ave,Oswego,NY,13126",43.45560315,-76.53522645,50
43,Riggs Hall,RIGGS-43,"28 Rudolph Rd,Oswego,NY,13126",43.4572598,-76.53933666,50
21,Romney Field House,ROMNEY-21,"28 Barnes Rd,Oswego,NY,",43.44781308,-76.53471071,50
45,Scales Hall,SCALES-45,"34 Rudolph Rd,Oswego,NY,13126",43.45612546,-76.54177132,50
32,Seneca Hall,SENECA-32,"47 Cayuga Circle,Oswego,NY,13126",43.45127648,-76.54738351,50
20,Service Bldg. 20,SERVICE BLDG-20,"25 Sheldon Ae,Oswego,NY,13126",43.45558323,-76.53429067,50
28,Sewage Main Lift Station,LIFT STAT MAIN-28,"42 Rudolph Road,Oswego,NY,13126",43.4480404,-76.53686257,50
0028A,Sewage Pump Station-Seneca,PUMP STAT-28A,"47 Cayuga Cir,Oswego,NY,13126",43.4579954,-76.5367407,50
0028B,Sewage Pump Station-Bldg 12,PUMP STAT-28B,"82 Mollison St,Oswego,NY,13126",43.44806132,-76.53686279,50
5,Shady Shore,SHADY SHORE-5,"6 Rudolph Rd,Oswego,NY,13126",43.45803543,-76.53677207,50
1,Sheldon Hall,SHELDON-1,"303 George Washington Blvd,Oswego,NY,13125",43.45432985,-76.53601713,50
3,Marano Campus Center,MARANO CC-3,"315 George Washington Blvd,Oswego,NY,13126",43.45419096,-76.54081195,50
7,Tyler Hall,TYLER-7,"71 Sweet Rd,Oswego,NY,13126",43.45181789,-76.54537784,50
10,Mary Walker Infirmary,WALKER-10,"40 Rudolph Rd,Oswego,NY,13126",43.45572567,-76.54274845,50
44,Waterbury Hall,WATERBURY-44,"30 Rudolph Rd,Oswego,NY,13126",43.45668646,-76.54052769,50
9,Wilber Hall,WILBER-9,"24 Takamine St,Oswego,NY,13126",43.4498761,-76.53482627,50
104,Campus Police Parking Office,PARKING-104,"7044 State Rt 104,Oswego NY,NY,13126",43.44775726,-76.54036105,50
107,One Room School House,SCHOOL HOUSE-107,"7061 Rte 104,Oswego,NY,13126",43.44986994,-76.53481839,50
003B,Convocation Center,CONVOCATION CTR-3B,"55 Rudolph Rd,Oswego,NY,13126",43.45379116,-76.54217106,50
0037B,TOWNHOUSE B,TWNHSB,"90 Iroquois Trail,Oswego NY,NY,13126",43.44736208,-76.54894263,50
0037C,TOWNHOUSE C,TWNHSC,"90 Iroquois Trail,Oswego NY,NY,13126",43.44793911,-76.54883103,50
0037D,TOWNHOUSE D,TWNHSD,"90 Iroquois Trail,Oswego NY,NY,13126",43.44783919,-76.54856651,50
0037E,TOWNHOUSE E,TWNHSE,"90 Iroquois Trail,Oswego NY,NY,13126",43.44844545,-76.54843342,50
0037F,TOWNHOUSE F,TWNHSF,"90 Iroquois Trail,Oswego NY,NY,13126",43.44832695,-76.54818168,50
0037G,TOWNHOUSE G,TWNHSG,"80 Iroquois Trail,Oswego NY,NY,13126",43.44714524,-76.54818168,50
0037H,TOWNHOUSE H,TWNHSH,"80 Iroquois Trail,Oswego NY,NY,13126",43.44699903,-76.54843718,50
0037I,TOWNHOUSE I,TWNHSI,"80 Iroquois Trail,Oswego NY,NY,13126",43.44750169,-76.54808949,50
0037J,TOWNHOUSE J,TWNHSJ,"80 Iroquois Trail,Oswego NY,NY,13126",43.44733316,-76.54788408,50
0037K,TOWNHOUSE K,TWNHSK,"80 Iroquois Trail,Oswego NY,NY,13126",43.44786379,-76.54749766,50
0037A,TOWNHOUSE A,TWNHSA,"90 Iroquois Trail,Oswego NY,NY,13126",43.44744367,-76.54920555,50
0037l,TOWNHOUSE L,TWNHSL,"80 Iroquois Trail,Oswego NY,NY,13126",43.44771799,-76.54727027,50
53,Syracuse Branch Campus,SYRACUSE-53,"2 S Clinton St,Syracuse,NY,13202",43.050786,-76.153645,50
24,Rice Creek Garage,RICE GAR-24,"193 Thompson Rd,Oswego,NY,13126",43.43044426,-76.54930654,50
003C,Campus Center Storge Bldg,CAMP CTR STOR-3C,"6 Rudolph Rd,Oswego,NY,13126",43.4575571,-76.5071273,50
71,Pole Barn,POLE BARN-71,"76 Mollison St,Oswego,NY,13126",43.457291,-76.507488,50
0005A,Shady Shore Garage,SHADY SHORE GAR-5A,"6 Rudolph Rd,Oswego,NY,13126",43.43015216,-76.507488,50
84,Office of Business and Community Relations,BUS & COMM REL-84,"34 East Bridge St,Oswego,NY,13126",43.4575622,-76.50706049,50
85,Business Resource Center,BUS RES CEN-85,"121 East First St,Oswego,NY,13126",43.457462,-76.507556,50
83,Rice Creek Pavilion,RICE PAV-83,"193 Thompson Rd,Oswego,NY,13126",43.430151,-76.55000144,50
81,Rice Creek Observatory,RICE OBSER-81,"193 Thompson Rd,Oswego,NY,13126",43.43001758,-76.55012031,50
82,Press Box,PRESS BOX-82,"21 Barnes Dr,Oswego,NY,13126",43.4477548,-76.53371142,50
0,Campus Whole,,"76 Mollison St,Oswego,NY,13126",43.457291,-76.507488,50
